ObjectID,Unit ID,Use Type,Name,Long Name,Level ID,Schedule Email,Capacity,Area ID,Assignment Type,Gross Area,Relative Height,Reservation Method,Created User,Created Date,Last Edited User,Last Edited Date,GlobalID,Validation status,Lable,Shape__Area,Shape__Length
280,UCM.KL.L2.275V,"275V
OTHER
OFF","275V
ADMIN
RECEPTION
(STUDENTS)","275V
ADMIN
RECEPTION
(STUDENTS), L2",UCM.KL.L2,,,,none,71.3487976548529,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fe350f1d-f579-4731-9ba9-6ca20ce0f980,2,,10.515625,12.9709117791204
281,UCM.KL.L2.275X,"275X
OTHER
OFF",275X,"275X, L2",UCM.KL.L2,,,,none,71.3487365612445,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,4d5eece1-5c9d-4b84-a1a4-08aee24455f5,2,,10.515625,12.9709117918574
282,UCM.KL.L3.311A,"311A
OFFICE
SRV","311A
PRIVATE
RESTROOM","311A
PRIVATE
RESTROOM, L3",UCM.KL.L3,,,,none,68.7978210401952,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,220552c8-6cd9-4c72-86c5-d88910250cce,2,,10.1328125,13.6322395672792
283,UCM.KL.L3.311C,"311C
CONFERENCE","311C
CONFERENCE
ROOM","311C
CONFERENCE
ROOM, L3",UCM.KL.L3,,,,none,203.400892817041,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,6abcfae7-79d4-4dc2-957d-9522f45680da,2,,29.96875,22.0314311301271
284,UCM.KL.L3.[CG]311D,[CG]311D,[CG]311D,"[CG]311D, L3",UCM.KL.L3,,,,none,174.43531995311,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,85081b4c-a328-412c-b9c9-bcfc6eaf2709,2,,25.703125,22.8031486946842
285,UCM.KL.L3.323C,"323C
OTHER
OFF",323C,"323C, L3",UCM.KL.L3,,,,none,201.332761861946,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,650ad929-73aa-49bb-a5b1-e65a8e3ea1dd,2,,29.65625,23.3788462658256
286,UCM.KL.L3.S3-2,"S3-2
CIRCULATION",S3-2,"S3-2, L3",UCM.KL.L3,,,,none,277.012998397657,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,1f04300b-7ce7-401c-8abb-c1058ba8ca55,2,,40.81640625,27.7825703846585
287,UCM.KL.L3.S3-5,"S3-5
CIRCULATION",S3-5,"S3-5, L3",UCM.KL.L3,,,,none,316.148959914998,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,80151ea6-6e17-41a7-9a28-3d8794fd91bd,2,,46.578125,32.1682048589801
288,UCM.KL.L3.S3-6,"S3-6
CIRCULATION",S3-6,"S3-6, L3",UCM.KL.L3,,,,none,123.458530564243,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,f5848fcf-5c22-4be5-a9fb-42bdd6536084,2,,18.19140625,18.3688351777909
289,UCM.KL.L3.U3-2,"U3-2
CUSTODIAL",U3-2,"U3-2, L3",UCM.KL.L3,,,,none,112.027391872407,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,70dedca4-2016-43ad-90a4-11e4ddc65bfc,2,,16.51171875,17.4459979427466
290,UCM.KL.L3.T3-3,"T3-3
RESTROOM",T3-3,"T3-3, L3",UCM.KL.L3,,,,none,336.335448465157,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,cb1117e5-be67-4eec-93d9-c80c07f28ad2,2,,49.5390625,39.4976509039631
